ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"AT5G67590"	NA	chr5	+	26958378	26958467	26957914	26958231	26958651	26958781
1	"AT5G67590"	NA	chr5	+	26958651	26958781	26957914	26958231	26958962	26958992
2	"AT5G67110"	NA	chr5	-	26785761	26785827	26785617	26785683	26785917	26785989
3	"AT5G66900"	NA	chr5	-	26715879	26716076	26714722	26715763	26716158	26716511
4	"AT5G65970"	NA	chr5	-	26388740	26388781	26388353	26388669	26388864	26388914
5	"AT5G65970"	NA	chr5	-	26389335	26389424	26389157	26389232	26389497	26389558
6	"AT5G65940"	NA	chr5	-	26378562	26378642	26378409	26378493	26378717	26378781
7	"AT5G65940"	NA	chr5	-	26378842	26378911	26378717	26378781	26378975	26379056
8	"AT5G65460"	NA	chr5	-	26167402	26167423	26167163	26167295	26167726	26167833
9	"AT5G65210"	NA	chr5	+	26059788	26059852	26059622	26059700	26059934	26060206
10	"AT5G65060"	NA	chr5	+	25989670	25989728	25987308	25987711	25989941	25990003
11	"AT5G65060"	NA	chr5	+	25990613	25990655	25990283	25990325	25990963	25991312
12	"AT5G64540"	NA	chr5	-	25800992	25801082	25800784	25800842	25801184	25801302
13	"AT5G64500"	NA	chr5	+	25782727	25782847	25782486	25782600	25782923	25783052
14	"AT5G64170"	NA	chr5	-	25675910	25676040	25675038	25675571	25676551	25676823
15	"AT5G63960"	NA	chr5	+	25602104	25602176	25601946	25602013	25602252	25602339
16	"AT5G63930"	NA	chr5	+	25583081	25585937	25581838	25582015	25586015	25586630
17	"AT5G63800"	NA	chr5	+	25532590	25532703	25532384	25532480	25532786	25532946
18	"AT5G63540"	NA	chr5	-	25443082	25443181	25442760	25442915	25443295	25443441
19	"AT5G63260"	NA	chr5	+	25362609	25362657	25361746	25362298	25362725	25362791
20	"AT5G63090"	NA	chr5	-	25309799	25309929	25308571	25309302	25310678	25310973
21	"AT5G63090"	NA	chr5	-	25309870	25309929	25308571	25309302	25310678	25310973
22	"AT5G63050"	NA	chr5	+	25293065	25293135	25292403	25292653	25293302	25293436
23	"AT5G62640"	NA	chr5	-	25151916	25151991	25151759	25151853	25152270	25152541
24	"AT5G62575"	NA	chr5	+	25118053	25118156	25117686	25117755	25118494	25118735
25	"AT5G62480"	NA	chr5	-	25089239	25089292	25088568	25089170	25089373	25089603
26	"AT5G62480"	NA	chr5	-	25089239	25089295	25088526	25089170	25089373	25089626
27	"AT5G62165"	NA	chr5	+	24966817	24966879	24966361	24966443	24967327	24967427
28	"AT5G62165"	NA	chr5	+	24967694	24967736	24967327	24967427	24967840	24967882
29	"AT5G61960"	NA	chr5	-	24883691	24883955	24883550	24883573	24884059	24884174
30	"AT5G61960"	NA	chr5	-	24883907	24883955	24883550	24883573	24884059	24884174
31	"AT5G61250"	NA	chr5	-	24634243	24634280	24633981	24634165	24634381	24634621
32	"AT5G60360"	NA	chr5	+	24281115	24281189	24280861	24280977	24281299	24281564
33	"AT5G66180"	NA	chr5	+	26450357	26450425	26450136	26450271	26450523	26450585
34	"AT5G59960"	NA	chr5	-	24143313	24143368	24143138	24143239	24143444	24143501
35	"AT5G59960"	NA	chr5	-	24143837	24143883	24143444	24143501	24144140	24144223
36	"AT5G59710"	NA	chr5	+	24058084	24058171	24057377	24057584	24058279	24058388
37	"AT5G59710"	NA	chr5	+	24060244	24060333	24059857	24059956	24060435	24060516
38	"AT5G59610"	NA	chr5	+	24014317	24014346	24013770	24013936	24014483	24014578
39	"AT5G59610"	NA	chr5	+	24014317	24014350	24013770	24013936	24014483	24014578
40	"AT5G58800"	NA	chr5	-	23746869	23746937	23746340	23746700	23747187	23747273
41	"AT5G58800"	NA	chr5	-	23746869	23746943	23746340	23746700	23747187	23747274
42	"AT5G58160"	NA	chr5	+	23538044	23538126	23537908	23537959	23538199	23538294
43	"AT5G58100"	NA	chr5	+	23510794	23510865	23510556	23510675	23511442	23511548
44	"AT5G58000"	NA	chr5	+	23478489	23478564	23478298	23478401	23478651	23478799
45	"AT5G57960"	NA	chr5	-	23465534	23465651	23465144	23465259	23465806	23465949
46	"AT5G56950"	NA	chr5	+	23034843	23034861	23034545	23034747	23035230	23035693
47	"AT5G56870"	NA	chr5	+	23005146	23005213	23004928	23005041	23005320	23005413
48	"AT5G56260"	NA	chr5	-	22776457	22776603	22775208	22776068	22777035	22777355
49	"AT5G54940"	NA	chr5	-	22309215	22309280	22308270	22308811	22309356	22309408
50	"AT5G54290"	NA	chr5	+	22051513	22051645	22051036	22051169	22051836	22051895
51	"AT5G53530"	NA	chr5	-	21748153	21748192	21747978	21748053	21748463	21748719
52	"AT5G53360"	NA	chr5	+	21648477	21648820	21647822	21648274	21648903	21649567
53	"AT5G53180"	NA	chr5	-	21570833	21570891	21570165	21570228	21571043	21571253
54	"AT5G53180"	NA	chr5	-	21570833	21570894	21570165	21570228	21571043	21571253
55	"AT5G53140"	NA	chr5	+	21551632	21551707	21551408	21551500	21551793	21552559
56	"AT5G53080"	NA	chr5	+	21521515	21521666	21521169	21521428	21521755	21521978
57	"AT5G53045"	NA	chr5	-	21509007	21509080	21508849	21508905	21509482	21509609
58	"AT5G53020"	NA	chr5	+	21499290	21499440	21498422	21498605	21499794	21500829
59	"AT5G53020"	NA	chr5	+	21499290	21499440	21498422	21498605	21499888	21500829
60	"AT5G53010"	NA	chr5	-	21490162	21490300	21489956	21490060	21490445	21490544
61	"AT5G53010"	NA	chr5	-	21492832	21492916	21492596	21492734	21492998	21493041
62	"AT5G53010"	NA	chr5	-	21494982	21495052	21494804	21494875	21495320	21495410
63	"AT5G52920"	NA	chr5	+	21466324	21466433	21466099	21466248	21466504	21466880
64	"AT5G52070"	NA	chr5	+	21162074	21162208	21161222	21161353	21163578	21163648
65	"AT5G52070"	NA	chr5	+	21162095	21162208	21161131	21161353	21163578	21163648
66	"AT5G52070"	NA	chr5	+	21162095	21162208	21161131	21161353	21163726	21163968
67	"AT5G52070"	NA	chr5	+	21163578	21163648	21161131	21161353	21163726	21163968
68	"AT5G52070"	NA	chr5	+	21163578	21163648	21162074	21162208	21163726	21163968
69	"AT5G52070"	NA	chr5	+	21163578	21163968	21162095	21162208	21164079	21164196
70	"AT5G52070"	NA	chr5	+	21163726	21163968	21162095	21162208	21164079	21164196
71	"AT5G53350"	NA	chr5	+	21645344	21645395	21645163	21645243	21645489	21645564
72	"AT5G50330"	NA	chr5	-	20487661	20487709	20487432	20487561	20487941	20488136
73	"AT5G49730"	NA	chr5	-	20203457	20203692	20202957	20203285	20203778	20203976
74	"AT5G49390"	NA	chr5	+	20027353	20027415	20026901	20026988	20027587	20027665
75	"AT5G49290"	NA	chr5	+	19981563	19981638	19981376	19981451	19981785	19983196
76	"AT5G48640"	NA	chr5	-	19725196	19725236	19724984	19725029	19725386	19725493
77	"AT5G48545"	NA	chr5	+	19677544	19677600	19676967	19677034	19677693	19677747
78	"AT5G47690"	NA	chr5	+	19322567	19322627	19322314	19322464	19322759	19322896
79	"AT5G47620"	NA	chr5	-	19303855	19303921	19302658	19303718	19304056	19304280
80	"AT5G47520"	NA	chr5	-	19278564	19278654	19278026	19278439	19278723	19278791
81	"AT5G47455"	NA	chr5	+	19251657	19251704	19251077	19251196	19251934	19251979
82	"AT5G47455"	NA	chr5	+	19251657	19251704	19251077	19251196	19252203	19252383
83	"AT5G47455"	NA	chr5	+	19251934	19251979	19251077	19251196	19252203	19252364
84	"AT5G47455"	NA	chr5	+	19251934	19251979	19251657	19251704	19252203	19252364
85	"AT5G47080"	NA	chr5	-	19125769	19125979	19125515	19125625	19126159	19126611
86	"AT5G47080"	NA	chr5	-	19125769	19125988	19125515	19125610	19126159	19126569
87	"AT5G47080"	NA	chr5	-	19125769	19125988	19125515	19125625	19126159	19126569
88	"AT5G46210"	NA	chr5	-	18735810	18735926	18735378	18735725	18736406	18736815
89	"AT5G45840"	NA	chr5	-	18596090	18596204	18595978	18596028	18596282	18596432
90	"AT5G45760"	NA	chr5	+	18562244	18562322	18562131	18562174	18562410	18562835
91	"AT5G45510"	NA	chr5	+	18445186	18448755	18444606	18444846	18449020	18449446
92	"AT5G45330"	NA	chr5	-	18366000	18366142	18365811	18365912	18366345	18366684
93	"AT5G45310"	NA	chr5	-	18360060	18360240	18359274	18359987	18360532	18360820
94	"AT5G45000"	NA	chr5	+	18166038	18166145	18165335	18165908	18166244	18166746
95	"AT5G44750"	NA	chr5	+	18053375	18053491	18053044	18053189	18053567	18053644
96	"AT5G44750"	NA	chr5	+	18057537	18057606	18057124	18057197	18057747	18057846
97	"AT5G44572"	NA	chr5	+	17969010	17969106	17968091	17968300	17969271	17970342
98	"AT5G44565"	NA	chr5	+	17952615	17952704	17951448	17951715	17952850	17953180
99	"AT5G44480"	NA	chr5	+	17921387	17921575	17920455	17920785	17921647	17921772
100	"AT5G44480"	NA	chr5	+	17921468	17921575	17920455	17920785	17921647	17921772
101	"AT5G44450"	NA	chr5	-	17915118	17915229	17914922	17915024	17915319	17915378
102	"AT5G44290"	NA	chr5	-	17843432	17843493	17842764	17843307	17843576	17843678
103	"AT5G44180"	NA	chr5	+	17787814	17788375	17787191	17787722	17788556	17788661
104	"AT5G43810"	NA	chr5	+	17611505	17611582	17610971	17611361	17611844	17612421
105	"AT5G62650"	NA	chr5	-	25154916	25154958	25154709	25154837	25155045	25155125
106	"AT5G66290"	NA	chr5	-	26478206	26478318	26478082	26478102	26478692	26478781
107	"AT5G66290"	NA	chr5	-	26479048	26479133	26478692	26478781	26479225	26479312
108	"AT5G49360"	NA	chr5	-	20015383	20015665	20013900	20014070	20016239	20016857
109	"AT5G42770"	NA	chr5	+	17152681	17152762	17152529	17152604	17153216	17153297
110	"AT5G42770"	NA	chr5	+	17153216	17153297	17152681	17152762	17153562	17153632
111	"AT5G42560"	NA	chr5	+	17015562	17015604	17014846	17015102	17015701	17015800
112	"AT5G42470"	NA	chr5	+	16983630	16983761	16983441	16983543	16983849	16983898
113	"AT5G42250"	NA	chr5	+	16895212	16895259	16894243	16894380	16895884	16896213
114	"AT5G41960"	NA	chr5	+	16790288	16790368	16789972	16790194	16790492	16790545
115	"AT5G41700"	NA	chr5	+	16676053	16676141	16675722	16675890	16676491	16676619
116	"AT5G41690"	NA	chr5	-	16674167	16674230	16674001	16674075	16674361	16674493
117	"AT5G41220"	NA	chr5	-	16496445	16496499	16496277	16496357	16496573	16496634
118	"AT5G41220"	NA	chr5	-	16496573	16496634	16496445	16496499	16496749	16496823
119	"AT5G41120"	NA	chr5	-	16458481	16458537	16458244	16458403	16458685	16458737
120	"AT5G40910"	NA	chr5	+	16395210	16395275	16394501	16394779	16395536	16397169
