groupID_x	featureID_x	exonBaseMean_x	dispersion_x	stat_x	pvalue_x	padj_x	Col_0_x	fio1	log2fold_fio1_Col_0	genomicData.seqnames_x	genomicData.start_x	genomicData.end_x	genomicData.width_x	genomicData.strand_x	countData.Cai_Col.0_1.bam	countData.Cai_Col.0_2.bam	countData.Cai_Col.0_3.bam	countData.Cai_fio1_1.bam	countData.Cai_fio1_2.bam	countData.Cai_fio1_3.bam	transcripts_x	uniqueID	groupID_y	featureID_y	exonBaseMean_y	dispersion_y	stat_y	pvalue_y	padj_y	Col_0_y	fio1.1	fio1.5	log2fold_fio1.1_Col_0	log2fold_fio1.5_Col_0	genomicData.seqnames_y	genomicData.start_y	genomicData.end_y	genomicData.width_y	genomicData.strand_y	countData.Sun_Col.0_1.bam	countData.Sun_Col.0_2.bam	countData.Sun_fio1.1_1.bam	countData.Sun_fio1.1_2.bam	countData.Sun_fio1.5_1.bam	countData.Sun_fio1.5_2.bam	transcripts_y
AT1G01020	E011	67.0763469303648	0.0079714213353787	43.3935225592854	4.47667581074979e-11	1.92522139278548e-08	15.2439651965367	9.53437987350955	-1.36489009049426	1	8571	8593	23	-	67	100	126	52	20	33	"c(""AT1G01020.3"", ""AT1G01020.1"", ""AT1G01020.2"")"	AT1G01020:E011	AT1G01020	E011	59.3650623594226	0.0034351400497801	56.91757982829	4.37023286458243e-13	1.42038123479689e-10	15.158866760044	8.99330408070688	10.1046790852066	-1.51512243970518	-1.17768890916547	1	8571	8593	23	-	102	102	27	34	44	44	"c(""AT1G01020.3"", ""AT1G01020.1"", ""AT1G01020.2"")"
AT1G01320	E017	4168.35575557575	0.0004033203551361	23.7272918599648	1.10997296795039e-06	0.0002063125299871	83.464178974716	86.9134464559893	0.158795512986195	1	126076	126589	514	-	2406	3698	4000	5278	5557	4831	"c(""AT1G01320.3"", ""AT1G01320.2"", ""AT1G01320.1"")"	AT1G01320:E017	AT1G01320	E017	1219.91087776028	0.0001454838300653	43.3109347124634	3.93686048207072e-10	7.28513895190037e-08	50.7790725918792	50.5717242568724	53.6378685424009	-0.0130031322187723	0.175017162070095	1	126076	126589	514	-	1140	1241	1029	1081	1309	1647	"c(""AT1G01320.3"", ""AT1G01320.2"", ""AT1G01320.1"")"
AT1G01770+AT1G01780	E020	164.805727103241	0.0010708095154022	11.2396845948944	0.0008006676106102	0.0451769563605234	18.8041972814003	21.0227326270322	0.328541499863475	1	283132	283231	100	+	85	112	139	231	261	200	AT1G01780.1	AT1G01770+AT1G01780:E020	AT1G01770+AT1G01780	E020	186.193701798758	0.0007937537440695	16.4795877406134	0.0002639386494406	0.0069024501288943	19.5367571062556	22.9362961631025	20.4234718111174	0.471245161776817	0.130127259941379	1	283132	283231	100	+	123	152	222	223	170	241	AT1G01780.1
AT1G01970	E001	812.187692797965	0.0007041571739145	17.1697078166572	3.4184425525804e-05	0.0040124884181779	42.0095783754228	44.2635510642287	0.165433742565821	1	338241	338987	747	+	528	675	792	1097	1021	885	AT1G01970.1	AT1G01970:E001	AT1G01970	E001	559.678469487483	0.0004575696485829	16.7637845738355	0.0002289762464877	0.0061668416553198	36.0603187951047	34.3958633860697	37.0509065326686	-0.143103509170295	0.0823584463931564	1	338241	338987	747	+	583	704	487	511	480	612	AT1G01970.1
AT1G01970	E002	1263.67688994653	0.0006391593421981	17.860987554764	2.37643154681647e-05	0.0029759668465149	53.7094332762011	51.7658436089649	-0.121631675706576	1	339126	340088	963	+	897	1216	1343	1498	1412	1348	AT1G01970.1	AT1G01970:E002	AT1G01970	E002	1019.28413188583	0.0003828200685315	17.4353789314585	0.0001636649077682	0.0047466522596831	47.0934011084519	48.4188744138446	46.3444896239478	0.0873162257079922	-0.0502519381664239	1	339126	340088	963	+	1074	1202	1027	1044	758	1005	AT1G01970.1
AT1G02100	E013	50.870037528751	0.0037325097107062	28.7910747152424	8.06217920688803e-08	1.99321477235671e-05	9.45270333089354	13.4921094830747	1.03373478692093	1	392073	392076	4	+	33	52	42	64	64	57	AT1G02100.2	AT1G02100:E013	AT1G02100	E013	24.7657433615392	0.0073553761614473	20.8120043170459	3.02503695049326e-05	0.0012467996196329	5.41607971217195	9.03550656003449	8.81046644237742	1.47975207209751	1.406744610398	1	392073	392076	4	+	18	11	27	33	31	30	AT1G02100.2
AT1G02205	E005	242.759353572668	0.0047742083611284	51.695271391119	6.48186721994445e-13	3.37342737043414e-10	16.9251622314462	24.6916827089028	1.11439184197478	1	418878	418986	109	+	62	55	74	441	486	430	AT1G02205.4	AT1G02205:E005	AT1G02205	E005	9.79791343496926	0.0140880497642447	11.3943226844951	0.0033554770018791	0.0459968103789008	2.91537929364779	3.57256125251683	5.64273581559092	0.58679812764104	1.90677894695854	1	418878	418986	109	+	0	3	8	6	19	28	AT1G02205.4
AT1G02840	E016	133.328751240899	0.0017759586422726	13.5895315952897	0.0002274503769553	0.0181216691094743	16.7394607454755	19.5552416718513	0.456418047388826	1	628777	628856	80	+	87	106	115	182	184	147	"c(""AT1G02840.4"", ""AT1G02840.3"", ""AT1G02840.5"")"	AT1G02840:E016	AT1G02840	E016	258.040073496026	0.0012921234930657	25.169479637682	3.42386742817564e-06	0.0002054936645879	21.9253564321548	25.2219360095043	26.6988616955041	0.41315139136404	0.581783122771182	1	628777	628856	80	+	199	174	243	284	319	358	"c(""AT1G02840.4"", ""AT1G02840.3"", ""AT1G02840.5"")"
AT1G02960	E003	81.6409922733766	0.0022813132002743	33.6123526549096	6.72642054348438e-09	2.05309611538997e-06	15.9331805590812	11.7208835439917	-0.894824595850239	1	667282	667372	91	-	81	125	126	52	59	42	"c(""AT1G02960.4"", ""AT1G02960.5"", ""AT1G02960.3"")"	AT1G02960:E003	AT1G02960	E003	50.1179587106672	0.0214422459183796	13.8429174453048	0.0009863900210971	0.0190098175347266	12.7458394909565	11.5347620699057	8.16577147356804	-0.289783530171277	-1.29029264879135	1	667282	667372	91	-	68	68	44	56	18	44	"c(""AT1G02960.4"", ""AT1G02960.5"", ""AT1G02960.3"")"
AT1G03130+AT1G03140	E001	92420.4539329061	0.0006208519851168	320.462334485449	1.1486692731248899e-71	1.1022199593929e-67	201.770267472681	192.211598514133	-0.353219712808603	1	753307	754260	954	-	86964	125303	131980	73819	71219	62441	AT1G03130.1	AT1G03130+AT1G03140:E001	AT1G03130+AT1G03140	E001	16393.4573055784	0.0001401511084715	990.512405558369	8.183969546411e-216	4.18490010745575e-211	130.69281662303	138.251804109425	139.54044538709	0.26612213855776	0.311048110693109	1	753307	754260	954	-	8368	8487	17819	17578	21136	28208	AT1G03130.1
