ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"AT5G52070"	NA	chr5	+	21162095	21162208	21163578	21163648	21161131	21161353	21163726	21163968	0	12,12	22,2	10,13	7,0	262	219	0.422460194221	1.0	0.313,0.834	0.544,1.0	-0.199
1	"AT5G42770"	NA	chr5	+	17152681	17152762	17153216	17153297	17152529	17152604	17153562	17153632	1	38,33	139,111	20,28	112,140	230	230	1	1.0	0.215,0.229	0.152,0.167	0.062
4	"AT5G13030"	NA	chr5	+	4133878	4133988	4134287	4134344	4133133	4133566	4134433	4134733	4	172,104	96,162	154,164	138,145	259	206	1	1.0	0.588,0.338	0.47,0.474	-0.009
5	"AT3G60910"	NA	chr3	+	22502405	22502425	22502511	22502564	22502241	22502310	22502677	22502708	5	7,3	50,23	2,14	19,44	169	202	1	1.0	0.143,0.135	0.112,0.276	-0.055
6	"AT5G22620"	NA	chr5	-	7518568	7518634	7518810	7518903	7518372	7518471	7519062	7519181	6	127,92	35,47	104,86	24,31	242	215	1	1.0	0.763,0.635	0.794,0.711	-0.053
7	"AT5G22620"	NA	chr5	-	7518595	7518634	7518810	7518903	7518372	7518471	7519062	7519181	7	127,92	2,2	104,86	2,9	242	188	1	1.0	0.98,0.973	0.976,0.881	0.048
9	"AT3G54750"	NA	chr3	-	20266153	20266275	20266633	20266732	20265838	20265940	20266821	20267036	9	21,30	71,65	58,36	103,80	248	271	1	1.0	0.244,0.335	0.381,0.33	-0.066
10	"AT1G33790"	NA	chr1	+	12257974	12258400	12259068	12259494	12256963	12257202	12259579	12260032	10	0,0	6,16	14,8	17,26	298	298	0.000272332207935	0.007352969614245	0.0,0.0	0.452,0.235	-0.344
12	"AT1G60640"	NA	chr1	-	22338173	22338233	22338466	22338526	22338008	22338074	22338617	22338683	12	32,21	80,57	37,32	68,83	209	209	1	1.0	0.286,0.269	0.352,0.278	-0.038
13	"AT1G58602"	NA	chr1	+	21753883	21754088	21758508	21758658	21746353	21746499	21760158	21761055	13	262,239	30,30	279,256	18,29	298	298	1	1.0	0.897,0.888	0.939,0.898	-0.026
14	"AT1G20060"	NA	chr1	-	6952478	6952571	6952652	6952745	6952308	6952398	6952826	6953012	14	2,0	0,6	8,2	6,8	242	242	0.590162947586	1.0	1.0,0.0	0.571,0.2	0.115
15	"AT1G10670"	NA	chr1	+	3535773	3535885	3536130	3536307	3535287	3535578	3536386	3536548	15	257,308	751,655	241,285	875,939	261	298	1	1.0	0.281,0.349	0.239,0.257	0.067
16	"AT1G10600"	NA	chr1	+	3504358	3504392	3504425	3504488	3504023	3504113	3504568	3504643	16	3,2	67,28	14,10	42,79	183	212	0.360807440595	1.0	0.049,0.076	0.279,0.128	-0.141
17	"AT1G03780"	NA	chr1	-	949540	949621	949733	949796	949296	949452	949882	950125	17	57,36	19,8	36,26	24,9	212	230	0.827982702136	1.0	0.765,0.83	0.619,0.758	0.109
18	"AT1G54730"	NA	chr1	+	20428048	20428111	20428387	20428447	20427299	20427343	20428788	20428842	18	32,41	29,40	20,12	13,22	212	209	1	1.0	0.521,0.503	0.603,0.35	0.036
19	"AT1G54730"	NA	chr1	+	20428387	20428447	20428788	20428842	20428048	20428111	20429313	20429373	19	22,12	18,20	18,31	23,16	209	203	1	1.0	0.543,0.368	0.432,0.653	-0.087
20	"AT3G05030"	NA	chr3	-	1395558	1395605	1395680	1395740	1395275	1395470	1395836	1395934	20	11,18	14,21	27,16	14,28	209	196	1	1.0	0.424,0.446	0.644,0.349	-0.061
22	"AT5G14550"	NA	chr5	-	4692239	4692278	4692548	4692629	4691988	4692054	4692759	4692841	22	10,28	35,30	31,35	58,46	230	188	1	1.0	0.189,0.433	0.304,0.383	-0.033
23	"AT1G28395"	NA	chr1	-	9969771	9969836	9970112	9970153	9969245	9969587	9971072	9971188	23	101,68	95,109	75,97	149,136	190	214	1	1.0	0.545,0.413	0.362,0.445	0.076
25	"AT5G50950"	NA	chr5	+	20732215	20732310	20732454	20732521	20731994	20732076	20732633	20732684	25	190,146	143,152	255,258	183,224	244	216	1	1.0	0.54,0.46	0.552,0.505	-0.028
26	"AT5G55820"	NA	chr5	+	22589900	22590089	22590410	22590599	22587226	22589784	22591045	22592339	26	8,20	0,0	6,6	0,3	298	298	1	1.0	1.0,1.0	1.0,0.667	0.166
28	"AT1G26680"	NA	chr1	+	9220739	9221127	9221504	9221925	9220293	9220635	9222006	9222125	28	2,2	2,0	0,0	4,0	298	298	1	1.0	0.5,1.0	0.0,NA	0.75
30	"AT3G02600"	NA	chr3	+	551704	551847	552436	552529	551183	551584	552930	553152	30	10,4	61,50	15,12	59,49	292	242	1	1.0	0.12,0.062	0.174,0.169	-0.08
31	"AT3G24360"	NA	chr3	-	8841905	8841958	8842174	8842239	8841401	8841536	8842411	8842513	31	13,13	0,8	16,22	4,0	214	202	1	1.0	1.0,0.605	0.791,1.0	-0.093
32	"AT1G79790"	NA	chr1	-	30017517	30017632	30017712	30017764	30017371	30017442	30017829	30017905	32	60,44	68,63	33,80	65,87	201	264	1	1.0	0.537,0.478	0.4,0.547	0.034
35	"AT3G28080"	NA	chr3	+	10452019	10452133	10453377	10453624	10451837	10451903	10454695	10454844	35	43,50	14,2	66,31	4,2	263	298	1	1.0	0.777,0.966	0.949,0.946	-0.076
36	"AT1G30810"	NA	chr1	-	10941469	10941580	10941766	10941825	10941018	10941105	10942045	10942292	36	0,0	5,24	2,0	12,20	208	260	1	1.0	0.0,0.0	0.172,0.0	-0.086
