	CRR341293	CRR341294
AT1G01020;A5:1:8464-8571:8464-8594:-	0.767580328883756	0.664511448644796
AT1G01020;RI:1:7157:7232-7384:7450:-	0.805853204452874	0.520054185911478
AT1G01020;RI:1:8236:8325-8417:8464:-	0.0494600972609969	0.144457262733318
AT1G01030;RI:1:11649:12354-12424:13173:-	1	1
AT1G01040;A5:1:27536-27618:27533-27618:+	0.640656827740408	0.621890262644189
AT1G01050;AF:1:32670-32839:33009:32670-33029:33171:-	0	0
AT1G01060;A3:1:35474-35567:35471-35567:-	0	1
AT1G01060;RI:1:37023:37203-37373:37398:-	0	nan
AT1G01060;RI:1:37373:37398-37569:37780:-	0	1
AT1G01080;A5:1:46145-46373:46145-46376:-	0.611184795373694	0.632381319222978
AT1G01080;RI:1:44970:45559-45646:45954:-	0.335090646412118	0.216057501695637
AT1G01100;A5:1:50963-51123:50963-51126:-	0.0428825313550611	0.0331011697994414
AT1G01100;AF:1:50963-51064:51108:50963-51123:51187:-	0.984905887219508	0.98811462947563
AT1G01100;AF:1:50963-51064:51108:50963-51126:51197:-	0.911597685819812	0.866318770607431
AT1G01100;AF:1:50963-51064:51108:50963-51126:51210:-	0.803160448097791	0.835391865663674
AT1G01100;RI:1:50419:50447-50496:50631:-	0.928557211837455	0.88681848258771
AT1G01140;A5:1:64475-64570:64475-64582:-	0.33009502337279	0.273722830279863
AT1G01140;A5:1:65652-65733:65652-65739:-	0.266861732197651	0.271796458547435
AT1G01160;SE:1:72669-72915:73016-73087:+	0.00385178785660298	0
AT1G01170;A3:1:74455-74661:74449-74661:-	0.953521270414066	0.969741829624805
AT1G01220;A5:1:92089-92270:92070-92270:+	0.100723632407616	0.208694615835265
AT1G01220;RI:1:91743:92070-92270:92501:+	nan	nan
AT1G01220;RI:1:91743:92070-92270:92933:+	0	0
AT1G01220;RI:1:91743:92089-92270:92501:+	nan	0
AT1G01220;RI:1:91743:92089-92270:92933:+	0	nan
AT1G01220;RI:1:91743:92501-92569:92933:+	nan	nan
AT1G01220;RI:1:92270:92501-92569:92933:+	0.550588675048323	0.256055931342505
AT1G01240;A3:1:100031-100111:100031-100657:+	0.148591128972791	0.0162833038195536
AT1G01240;A5:1:100220-100657:100031-100657:+	0.0329089348728141	0
AT1G01240;RI:1:99866:100031-100657:101987:+	0	0
AT1G01240;RI:1:99866:100220-100657:101987:+	0	nan
AT1G01240;SE:1:100031-100111:100220-100657:+	0.440863378860368	0.48195772390305
AT1G01260;A3:1:109330-109406:109330-109413:+	0.063857650783324	0.137701577012965
AT1G01290;RI:1:114619:115339-115961:116407:+	0.197883488057927	0.259750271128812
AT1G01320;A3:1:123501-123579:123495-123579:-	1	0.975577436292095
AT1G01320;A3:1:125046-125134:125022-125134:-	0	0
AT1G01355;A3:1:138778-138863:138778-138875:+	0	nan
AT1G01355;RI:1:138875:138914-138989:139114:+	0	nan
AT1G01370;A3:1:143676-143761:143676-143764:+	0.846901591456093	0.987729665356353
AT1G01370;RI:1:143489:143676-143764:143824:+	0.259643613556053	0.813641993895679
AT1G01380;A5:1:147539-147644:147528-147644:+	1	1
AT1G01380;RI:1:147452:147539-147644:148014:+	0.0687353488932334	0.0754276747024521
AT1G01448;A3:1:165656-165769:165656-165983:+	NA	NA
AT1G01448;RI:1:165449:165656-165769:166353:+	NA	NA
AT1G01490;A5:1:181422-181594:181422-182061:-	0	0
AT1G01490;RI:1:181347:181422-181594:182135:-	1	1
AT1G01490;RI:1:181347:181422-182061:182135:-	0.0227120118290033	0.0238640877698535
AT1G01490;RI:1:182061:182135-182253:182749:-	0.0893616902809138	0.0879163660536873
AT1G01510_and_AT1G01520;RI:1:191138:191258-191341:191475:+	0	1
AT1G01510_and_AT1G01520;RI:1:191780:191889-191967:192026:+	0	0
AT1G01510_and_AT1G01520;RI:1:191780:191889-191967:192436:+	nan	nan
AT1G01510_and_AT1G01520;RI:1:191780:192026-192107:192436:+	nan	nan
AT1G01510_and_AT1G01520;RI:1:191967:192026-192107:192436:+	0	0
AT1G01540;RI:1:197775:197904-197974:198183:+	0.543098818697745	0.583259287057077
AT1G01560;RI:1:203267:203599-203760:203943:+	0	0
AT1G01560;RI:1:203267:203943-204029:204335:+	nan	nan
AT1G01640;A3:1:231928-232398:231908-232398:-	0.76319277612483	1
AT1G01650;A3:1:237303-237504:237023-237504:-	0	0
AT1G01650;A5:1:237023-237220:237023-237504:-	0	0
AT1G01650;RI:1:236673:236784-236865:237023:-	0	0.0519929335488226
AT1G01670;AF:1:245264-245630:245676:245264-245877:246054:-	1	1
AT1G01690;A3:1:249306-249540:249306-249543:+	0.948650722730106	0.481791683050552
AT1G01690;A3:1:249930-250014:249930-250017:+	0.0513492772698941	1
