Geneid	Chr	Start	End	Strand	Length	logFC	abs	exon.F	P.Value	FDR
AT1G64790	1	24082539	24082720	-	182	4.87741112354887	4.87741112354887	22.6959017482773	3.18711332180448E-06	0.00289787744034515
AT4G33130	4	15980201	15980346	-	146	4.22220639603502	4.22220639603502	32.9896196748272	9.48437477773548E-06	0.00698328329422852
AT2G09545+AT2G44798	2	18469583	18470769	-	1187	3.70894585009756	3.70894585009756	31.3200598688958	1.7199402069333E-06	0.00173162471368914
AT1G77080	1	28958311	28958333	+	23	3.45581278343455	3.45581278343455	34.8322415345566	1.91553250199336E-07	0.00032439064038132
AT1G05767+AT1G22800	1	8074366	8075020	+	655	-3.39588395253142	3.39588395253142	57.2203472386661	1.02744414954509E-07	0.000193327886794541
AT3G23480+AT3G23470	3	8420427	8420495	+	69	3.28764384191076	3.28764384191076	27.8908773568842	4.49275122560056E-07	0.000627493763445271
AT5G13590	5	4378726	4379055	-	330	3.16391074471782	3.16391074471782	27.9112552798502	3.7273461144486E-06	0.00327904803177447
AT5G35930	5	14066599	14066991	-	393	3.0079103086118	3.0079103086118	21.481376077964	1.36549013778484E-05	0.00953576664365026
AT5G37500	5	14889245	14889585	-	341	-2.85508193191827	2.85508193191827	46.3325138754782	4.00777579341097E-09	1.30809108380392E-05
AT4G26630	4	13435596	13435651	-	56	-2.81860132898261	2.81860132898261	52.0854191692304	7.98204694477359E-09	2.04036180374346E-05
AT5G22800	5	7620114	7620278	-	165	2.80274968832073	2.80274968832073	20.7191340154736	4.14193498324319E-05	0.023092225006577
AT2G44180	2	18271086	18271152	-	67	2.42243297197119	2.42243297197119	39.9204868324433	1.78080901954889E-07	0.00030828130466267
AT4G32590	4	15721808	15722015	+	208	2.42226903017531	2.42226903017531	160.204958675259	2.7021606612006E-16	7.3216664411627E-12
AT2G02370	2	621366	621374	+	9	2.39886301517223	2.39886301517223	26.3652771477139	3.0440171223622E-05	0.0184105960581869
AT3G14010	3	4638933	4638938	+	6	-2.37022246955716	2.37022246955716	256.073782598387	1.95939403941959E-23	2.65454785672488E-18
AT1G20696	1	7181500	7181535	+	36	-2.34514216932476	2.34514216932476	43.7105994110989	8.39276655817752E-06	0.00638783835825154
AT1G10590	1	3503370	3503373	-	4	-2.20577729649243	2.20577729649243	61.5521029430494	2.54808558611212E-09	8.85152664193069E-06
AT4G01870	4	810447	810611	-	165	2.18832392387583	2.18832392387583	30.9763782886116	4.08799387506778E-05	0.0230507496863965
AT1G21170	1	7415873	7415924	+	52	2.1633167750918	2.1633167750918	18.7431988087218	3.44651214195255E-05	0.0203011553029325
AT1G02850	1	633260	633420	+	161	-2.1452587143652	2.1452587143652	25.3466270846194	2.61888813627801E-05	0.0165024059035661
AT4G00910	4	390342	390614	-	273	2.14123534253823	2.14123534253823	44.3771490816756	2.245579396996E-06	0.00217304718247303
AT3G05380	3	1539729	1539763	+	35	-2.11242287871437	2.11242287871437	27.3960087766453	1.03641267980269E-06	0.00116165009806706
AT1G18950	1	6550670	6550681	+	12	2.11080532051679	2.11080532051679	45.9642846178357	2.78131167051492E-09	9.42016356245052E-06
AT3G14080	3	4668330	4668380	+	51	2.10287094052808	2.10287094052808	35.8549788691072	9.10030459809929E-06	0.00682211818468299
AT1G66760	1	24902359	24902436	+	78	2.07819476401935	2.07819476401935	51.3079777724339	4.05525808764263E-09	1.30809108380392E-05
