gene	event	dpsi_Parker	p_val_Parker	dpsi_Wang	p_val_Wang
AT1G03310	A5:1:813604-813929:813581-813929:+	-0.4758888265	0.003996004	-0.2958404251	0.011988012
AT1G06960	RI:1:2137067:2137146-2137264:2137838:+	-0.2586300577	0.02997003	-0.4789525842	0.020979021
AT1G13880	A3:1:4749747-4749835:4749747-4749838:+	-0.2527152791	0.011988012	-0.2905004079	0.02997003
AT1G15280	A3:1:5253387-5253546:5253387-5253549:+	-0.1944875549	0.0074925075	-0.1517016687	0.035964036
AT1G18840	A5:1:6503950-6504071:6503950-6504081:-	-0.2109307646	0.0344655345	-0.2210178408	0.02997003
AT1G23080	A5:1:8182128-8182206:8182128-8182218:-	-0.4188939893	0.0004995005	-0.3161140986	0.000999001
AT1G23360	RI:1:8296254:8296342-8296419:8296509:-	-0.2093016006	0.015984016	-0.1862494428	0.0344655345
AT1G26850	A5:1:9303439-9303845:9303439-9303909:-	0.1056323629	0.013986014	0.0730955461	0.040959041
AT1G30690	A5:1:10887850-10888276:10887827-10888276:+	-0.1248838738	0.0314685315	-0.1225820204	0.0274725275
AT1G49340	A5:1:18253869-18254042:18253848-18254042:+	0.1340764332	0.04995005	0.3195298603	0.0184815185
AT1G67700	A5:1:25375726-25375804:25375712-25375804:+	-0.280385126	0.000999001	-0.2069172612	0.000999001
AT1G68910	A5:1:25908380-25908565:25908380-25908569:-	-0.1633611719	0.043956044	-0.2556868328	0.031968032
AT1G70610	A5:1:26622797-26622941:26622786-26622941:+	-0.113405219	0.0464535465	-0.23687002	0.0204795205
AT1G72640	A3:1:27346919-27347085:27346899-27347085:-	-0.115815048	0.0374625375	-0.1630060715	0.0097402597
AT1G72640	A3:1:27347661-27347770:27347658-27347770:-	0.1905245461	0.026973027	0.1727673805	0.0097402597
AT1G72740	A5:1:27380901-27381147:27380901-27381165:-	0.1669374968	0.01998002	0.1649165437	0.0414585415
AT2G01420	A5:2:181847-182005:181847-182017:-	-0.3222995879	0.004995005	-0.2750388337	0.010989011
AT2G02390	A3:2:629353-629518:629353-629539:+	0.0723872308	0.0304695305	0.1202278201	0.0474525475
AT2G17500	A5:2:7606870-7606944:7606823-7606944:+	0.3597727209	0.003996004	0.9111104701	0.008991009
AT2G33830	A3:2:14310089-14310196:14310083-14310196:-	0.0323743509	0.031968032	0.0491914518	0.0364635365
AT2G34900	A5:2:14725183-14725545:14725183-14725584:-	-0.1086518812	0.037962038	-0.1810575091	0.0344655345
AT2G39730	A5:2:16571066-16571180:16571066-16571191:-	-0.2585490923	0.0	-0.194432213	0.0014985015
AT3G01340	A5:3:128483-128880:128483-128892:-	0.0889687505	0.0294705295	-0.2564196747	0.0014985015
AT3G04630	A3:3:1259461-1259567:1259461-1259570:+	-0.1883917498	0.014985015	-0.1880608676	0.010989011
AT3G07510	A5:3:2394486-2394568:2394486-2394574:-	0.3185909124	0.0034965035	0.3041445068	0.0224775225
AT3G11930	A3:3:3776659-3776910:3776659-3776916:+	0.1213815787	0.048951049	0.153831381	0.012987013
AT3G11930	A3:3:3776659-3776913:3776659-3776916:+	0.1010623876	0.048951049	0.12933317	0.012987013
AT3G21175	A5:3:7423334-7423408:7423328-7423408:+	0.2505139231	0.010989011	0.4784205778	0.0024975025
AT3G24530	RI:3:8947110:8947208-8947286:8947396:-	-0.1462484406	0.040959041	-0.1588184437	0.045954046
AT3G57050	A5:3:21114059-21114162:21114059-21114207:-	0.2027499596	0.021978022	0.18973497	0.034965035
AT3G58710	A3:3:21715316-21715403:21715316-21715406:+	0.1538797633	0.0354645355	-0.2652039927	0.0444555445
AT3G62840	A3:3:23236114-23236488:23236111-23236488:-	-0.1282370707	0.00999001	-0.0858580264	0.0294705295
AT3G63460	A5:3:23434825-23434944:23434825-23434950:-	0.4245698939	0.000999001	0.4488601144	0.002997003
AT4G14965	A5:4:8552769-8552924:8552747-8552924:+	0.1192225695	0.0344655345	0.3589742291	0.003996004
AT4G17570	A5:4:9785903-9785984:9785903-9785996:-	-0.5308319781	0.000999001	-0.3234830366	0.0204795205
AT4G23910	A5:4:12426729-12427055:12426711-12427055:+	0.389531765	0.0004995005	0.1983146136	0.0454545455
AT4G26400	A5:4:13346067-13346388:13346067-13346405:-	-0.3802128909	0.0014985015	-0.2535952647	0.016983017
AT4G26630	A5:4:13434925-13435596:13434925-13435652:-	0.1288869338	0.0174825175	0.2627470284	0.0014985015
AT4G26965	A5:4:13539832-13540218:13539828-13540218:+	-0.4876453444	0.002997003	-0.309819381	0.0344655345
AT4G33650	A3:4:16164871-16164960:16164871-16164963:+	0.1781170218	0.024975025	0.2876714626	0.0244755245
AT4G39100	A3:4:18218753-18219336:18218733-18219336:-	-0.1498965178	0.015984016	-0.1342794122	0.0414585415
AT4G40050	A5:4:18561884-18561989:18561884-18561993:-	-0.3990684015	0.000999001	-0.3370854639	0.0114885115
AT5G11630_and_AT5G11640	A5:5:3740942-3741504:3740877-3741504:+	0.4375940708	0.002997003	0.3203829022	0.024975025
AT5G18620	A5:5:6196207-6196327:6196207-6196336:-	-0.5517661102	0.0004995005	-0.3406284889	0.008991009
AT5G18640	A5:5:6213160-6213280:6213067-6213280:+	0.1538730881	0.036963037	0.3232091771	0.032967033
AT5G61150	A5:5:24603983-24604075:24603983-24604081:-	0.1860166977	0.0124875125	0.1880453645	0.015984016
AT5G61410	A3:5:24683858-24684045:24683852-24684045:-	0.0729502811	0.021978022	0.0678873207	0.0204795205
