ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"AT5G67590"	NA	chr5	+	26958378	26958467	26957914	26958231	26958651	26958781	0	2372,3471,2865,2357,3259,2993	5,4,3,4,4,10	2380,1615,2062,3024,3190,1057	9,3,4,2,4,0	238	149	1	1.0	0.997,0.998,0.998,0.997,0.998,0.995	0.994,0.997,0.997,0.999,0.998,1.0	-0.0
1	"AT5G67260"	NA	chr5	+	26838296	26838388	26837395	26837630	26839494	26839597	1	0,0,2,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	0,0,1,0,0,0	241	149	1	1.0	NA,NA,1.0,NA,NA,NA	NA,NA,0.0,NA,NA,NA	1.0
2	"AT5G67110"	NA	chr5	-	26785761	26785827	26785617	26785683	26785917	26785989	2	40,46,25,44,27,31	0,0,0,0,0,1	34,11,19,65,57,10	1,0,0,3,0,0	215	149	1	1.0	1.0,1.0,1.0,1.0,1.0,0.956	0.959,1.0,1.0,0.938,1.0,1.0	0.01
3	"AT5G66900"	NA	chr5	-	26715879	26716076	26714722	26715763	26716158	26716511	3	152,297,201,199,318,225	0,0,1,2,2,2	264,145,217,290,268,116	4,2,1,0,5,0	298	149	1	1.0	1.0,1.0,0.99,0.98,0.988,0.983	0.971,0.973,0.991,1.0,0.964,1.0	0.007
4	"AT5G66190"	NA	chr5	-	26451832	26451910	26451675	26451738	26452011	26452103	4	5236,8245,6093,5468,6980,6536	0,0,1,0,0,0	6669,4816,5979,8678,9124,2882	0,0,0,0,0,0	227	149	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	0.0
5	"AT5G65970"	NA	chr5	-	26388353	26388389	26388166	26388234	26388495	26388669	5	94,121,136,72,131,169	0,0,0,4,0,0	97,73,80,141,146,46	0,0,0,0,1,0	185	149	1	1.0	1.0,1.0,1.0,0.935,1.0,1.0	1.0,1.0,1.0,1.0,0.992,1.0	-0.009
6	"AT5G65970"	NA	chr5	-	26388740	26388781	26388353	26388669	26388864	26388914	6	125,193,164,111,175,128	4,1,0,0,2,0	114,89,109,155,129,37	2,0,2,1,0,0	190	149	1	1.0	0.961,0.993,1.0,1.0,0.986,1.0	0.978,1.0,0.977,0.992,1.0,1.0	-0.001
7	"AT5G65970"	NA	chr5	-	26388864	26388914	26388353	26388669	26388993	26389082	7	28,38,38,21,35,31	0,0,0,0,0,0	23,16,22,23,26,13	0,0,0,0,1,0	199	149	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,0.951,1.0	0.008
8	"AT5G65970"	NA	chr5	-	26389335	26389424	26389157	26389232	26389497	26389558	8	126,175,124,100,164,153	0,0,0,0,2,3	97,73,84,123,133,46	0,2,0,0,0,0	238	149	1	1.0	1.0,1.0,1.0,1.0,0.981,0.97	1.0,0.958,1.0,1.0,1.0,1.0	-0.001
9	"AT5G65970"	NA	chr5	-	26389497	26389558	26389335	26389424	26389630	26389747	9	98,150,114,90,167,140	0,0,0,0,0,0	86,90,88,156,149,48	2,0,0,0,0,0	210	149	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	0.968,1.0,1.0,1.0,1.0,1.0	0.005
10	"AT5G65970"	NA	chr5	-	26390078	26390136	26389823	26390008	26390206	26390676	10	131,174,94,105,104,93	1,0,0,0,0,0	120,79,76,107,136,34	0,0,0,0,0,0	207	149	1	1.0	0.99,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.002
11	"AT5G65960"	NA	chr5	+	26385688	26385824	26385546	26385607	26385915	26386243	11	775,1157,929,844,1111,1094	0,0,0,0,0,0	970,784,829,1153,1365,439	0,0,0,0,1,0	285	149	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,0.999,1.0	0.0
12	"AT5G65940"	NA	chr5	-	26378562	26378642	26378409	26378493	26378717	26378781	12	586,790,729,646,805,680	1,1,2,0,1,0	655,512,600,819,882,262	1,1,0,5,4,0	229	149	1	1.0	0.997,0.998,0.996,1.0,0.998,1.0	0.998,0.997,1.0,0.991,0.993,1.0	0.002
13	"AT5G65940"	NA	chr5	-	26378842	26378911	26378717	26378781	26378975	26379056	13	705,955,794,704,1021,881	1,0,0,0,0,0	784,586,715,871,974,331	0,0,0,1,0,0	218	149	1	1.0	0.998,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.998,1.0,1.0	0.0
14	"AT5G65940"	NA	chr5	-	26378975	26379056	26378842	26378911	26379131	26379235	14	573,801,645,552,832,734	0,3,0,0,1,0	679,448,617,688,794,296	0,0,0,0,0,1	230	149	1	1.0	1.0,0.994,1.0,1.0,0.998,1.0	1.0,1.0,1.0,1.0,1.0,0.995	-0.0
15	"AT5G65460"	NA	chr5	-	26167163	26167295	26166889	26167068	26167726	26167833	15	84,97,100,83,97,120	0,0,0,0,0,1	69,50,66,97,52,34	0,0,0,0,0,0	281	149	1	1.0	1.0,1.0,1.0,1.0,1.0,0.985	1.0,1.0,1.0,1.0,1.0,1.0	-0.002
16	"AT5G65460"	NA	chr5	-	26167402	26167423	26167163	26167295	26167726	26167833	16	2,3,4,4,10,4	52,56,44,45,47,54	0,0,0,0,0,1	33,28,29,53,32,20	170	149	1	1.0	0.033,0.045,0.074,0.072,0.157,0.061	0.0,0.0,0.0,0.0,0.0,0.042	0.067
17	"AT5G65210"	NA	chr5	+	26059788	26059852	26059622	26059700	26059934	26060206	17	1176,1659,1183,948,1575,1614	0,0,0,0,0,2	921,538,772,923,1348,355	1,0,0,0,0,0	213	149	1	1.0	1.0,1.0,1.0,1.0,1.0,0.998	0.998,1.0,1.0,1.0,1.0,1.0	0.0
