gene	event	dpsi_Parker20c	p_val_Parker20c	dpsi_Sun	p_val_Sun
AT1G01020	A5:1:8464-8571:8464-8594:-	0.3862512272	0.0044955045	0.4822092587	0.0014985015
AT1G02080	A3:1:374922-375122:374922-375125:+	-0.0965401517	0.042957043	-0.3504792465	0.005994006
AT1G02260	RI:1:441398:442620-442718:442972:-	0.1479815008	0.027972028	0.173049738	0.0434565435
AT1G02500	A3:1:518378-519033:518378-519036:+	0.0467143102	0.0174825175	0.0601761621	0.021978022
AT1G03090	SE:1:741065-741148:741207-741509:+	-0.0298536788	0.040959041	-0.1555550759	0.010989011
AT1G03310	A5:1:813604-813929:813581-813929:+	-0.4403807361	0.000999001	-0.2713843653	0.005994006
AT1G04053_and_AT1G01760	A5:1:276519-276623:276519-276706:-	0.2063314629	0.0274725275	0.4126122415	0.0184815185
AT1G07700	A5:1:2379798-2380104:2379729-2380104:+	0.1751925578	0.0074925075	0.2773992903	0.002997003
AT1G07820	RI:1:2421089:2421783-2421903:2422066:-	0.0933756133	0.010989011	0.2056933368	0.0004995005
AT1G08040	A5:1:2497998-2498480:2497998-2498484:-	-0.3240991865	0.002997003	-0.4626234342	0.0074925075
AT1G08570	A5:1:2713010-2713096:2712985-2713096:+	-0.1849336035	0.0044955045	-0.0980943204	0.0484515485
AT1G10570	A3:1:3487974-3488329:3487974-3488332:+	0.1517793517	0.044955045	0.2031004593	0.036963037
AT1G10590	A5:1:3503004-3503370:3503004-3503374:-	0.1308295915	0.007992008	0.1811685258	0.002997003
AT1G10600	MX:1:3504113-3504359:3504392-3504569:3504113-3504426:3504488-3504569:+	-0.1033183336	0.007992008	-0.1856221039	0.028971029
AT1G10740	A5:1:3567965-3568316:3567965-3568324:-	0.1870593615	0.008991009	-0.5	0.00999001
AT1G13450	RI:1:4613286:4613516-4613755:4613889:-	-0.105715985	0.008991009	-0.2438712602	0.010989011
AT1G13880	A3:1:4749747-4749835:4749747-4749838:+	-0.2581393271	0.001998002	-0.2841929189	0.008991009
AT1G13940	RI:1:4766396:4766470-4766594:4766852:-	0.1393195346	0.0374625375	0.310897153	0.03996004
AT1G14710	RI:1:5064148:5064811-5064972:5065303:-	-0.1285546474	0.005994006	-0.1163593443	0.0174825175
AT1G14970	A5:1:5164347-5164532:5164347-5164537:-	-0.4110862053	0.037962038	-0.6093034392	0.013986014
AT1G15280	A3:1:5253387-5253546:5253387-5253549:+	-0.2117187769	0.0024975025	-0.2298942641	0.002997003
AT1G15490	A5:1:5322960-5323153:5322960-5323158:-	-0.4228459379	0.011988012	-0.496009323	0.03996004
AT1G17130	A3:1:5854461-5854865:5854461-5854886:+	-0.1153353061	0.013986014	-0.0733617316	0.0474525475
AT1G18660	RI:1:6420975:6421303-6421398:6421501:+	-0.3172664871	0.001998002	-0.2720904471	0.0
AT1G18950	A5:1:6550681-6550763:6550669-6550763:+	-0.5461762214	0.000999001	-0.7850327767	0.000999001
AT1G22690	A5:1:8028059-8028132:8028015-8028132:+	-0.0763215991	0.008991009	-0.0337773527	0.044955045
AT1G23080	A5:1:8182128-8182206:8182128-8182218:-	-0.4583543155	0.0	-0.4390448702	0.000999001
AT1G23360	RI:1:8296254:8296342-8296419:8296509:-	-0.2354848745	0.0034965035	-0.1843193051	0.0054945055
AT1G26850	A5:1:9303439-9303845:9303439-9303909:-	0.1014520978	0.004995005	0.1622542076	0.0074925075
AT1G27630	A5:1:9612429-9612590:9611876-9612590:+	-0.208616439	0.00999001	-0.2384381675	0.0074925075
AT1G27770	RI:1:9673281:9675232-9675309:9675363:-	-0.1581346308	0.00999001	-0.1831383769	0.025974026
AT1G27900	RI:1:9716179:9716339-9716538:9716607:-	-0.3126824158	0.008991009	-0.2852917462	0.011988012
AT1G29040_and_AT1G29041	A3:1:10134777-10135051:10134777-10135058:+	-0.3709764101	0.0	-0.2727669858	0.0114885115
AT1G29040_and_AT1G29041	A5:1:10134581-10134686:10134536-10134686:+	-0.0824346053	0.0214785215	-0.1958914035	0.0114885115
AT1G29040_and_AT1G29041	A5:1:10134797-10135051:10134777-10135051:+	0.2382997508	0.0022477522	0.2243280569	0.0114885115
AT1G29850	A3:1:10448745-10448846:10448745-10448849:+	-0.1440204224	0.008991009	-0.1325236708	0.0224775225
AT1G30690	A5:1:10887850-10888276:10887827-10888276:+	-0.1301533323	0.0044955045	-0.1112566472	0.014985015
AT1G31420	A3:1:11252680-11252756:11252680-11252759:+	0.1352433881	0.006993007	0.1705310797	0.01998002
AT1G33470	A3:1:12145610-12145684:12145610-12145687:+	0.1358857658	0.011988012	0.1303497318	0.040959041
AT1G35515_and_AT1G35516	A5:1:13078929-13079305:13078915-13079305:+	-0.1820588266	0.0004995005	-0.1766520058	0.010989011
AT1G49950	A5:1:18496750-18497084:18496750-18497129:-	0.1889198263	0.005994006	0.1881236403	0.035964036
AT1G51840	A3:1:19250211-19250605:19250199-19250605:-	0.2094954943	0.014985015	0.4095572322	0.034965035
AT1G53200	A5:1:19842517-19842634:19842517-19842651:-	-0.1704517946	0.0274725275	-0.4120314196	0.015984016
AT1G53310	A5:1:19888088-19888229:19888088-19888305:-	-0.1122773098	0.0064935065	-0.1042542542	0.022977023
AT1G54030	RI:1:20168777:20169029-20169100:20169684:+	-0.1679463121	0.000999001	-0.1620554882	0.00999001
AT1G54310	A5:1:20274561-20274642:20274535-20274642:+	-0.2195409163	0.008991009	-0.1460131659	0.0464535465
AT1G55340	A3:1:20652822-20652902:20652822-20652932:+	0.0829440116	0.026973027	0.1403361751	0.0084915085
AT1G55810	A5:1:20860831-20861271:20860710-20861271:+	0.1292009719	0.023976024	0.2849817156	0.038961039
AT1G55840	SE:1:20873945-20874058:20874086-20874483:+	0.085544137	0.018981019	0.1873108365	0.005994006
AT1G58180	RI:1:21539169:21539300-21539394:21539458:-	-0.0986594342	0.0134865135	-0.122028508	0.038961039
AT1G59890	A5:1:22046241-22046502:22046226-22046502:+	0.2369340264	0.0134865135	0.3713942134	0.0404595405
AT1G62250	RI:1:22995814:22995919-22996058:22996230:-	-0.1465616673	0.0324675325	-0.1512647617	0.0454545455
AT1G62290	AF:1:23012687-23013416:23013492:23012687-23013511:23013601:-	-0.1992698462	0.00999001	-0.3283764619	0.0174825175
AT1G67350	A3:1:25235544-25235813:25235544-25235820:+	-0.0438545538	0.034965035	-0.043109351	0.0424575425
AT1G67700	A5:1:25375726-25375804:25375712-25375804:+	-0.2870261118	0.0	-0.2568373866	0.0
AT1G68820	A5:1:25866882-25866962:25866864-25866962:+	-0.2158547953	0.004995005	-0.2750922913	0.010989011
AT1G69510	A3:1:26126477-26126772:26126477-26126777:+	0.052115473	0.0264735265	0.065219359	0.0274725275
AT1G72640	A3:1:27346919-27347085:27346899-27347085:-	-0.1446008392	0.0097402597	-0.0734202423	0.0412087912
AT1G72640	A3:1:27347661-27347770:27347658-27347770:-	0.1778187476	0.0097402597	0.2377289225	0.0044955045
AT1G73390	A5:1:27594166-27594495:27594166-27594499:-	0.2764097798	0.020979021	0.3648607242	0.0024975025
AT1G77890_and_AT1G77910	A5:1:29293278-29293401:29293272-29293401:+	0.5090583448	0.0014985015	0.6023291182	0.005994006
AT1G77930	RI:1:29302026:29302163-29302249:29302712:+	-0.1199275562	0.013986014	-0.0872080107	0.025974026
AT1G79190	A5:1:29792228-29792309:29792210-29792309:+	-0.6309078514	0.0	-0.6030391521	0.008991009
AT1G80490	A3:1:30266540-30266900:30266508-30266900:-	-0.0974101031	0.034965035	0.1414634171	0.046953047
AT2G01420	A5:2:181847-182005:181847-182017:-	-0.3495297986	0.0	-0.3836747273	0.001998002
AT2G01930	RI:2:427114:428223-428706:428900:-	-0.1011202329	0.008991009	-0.1238114084	0.0414585415
AT2G02080	A5:2:520660-520977:520660-520981:-	-0.5127818722	0.0	-0.3961254819	0.007992008
AT2G02390	A3:2:629353-629518:629353-629539:+	0.0828675277	0.0134865135	0.1042322447	0.0134865135
AT2G02560	A3:2:690380-690463:690380-690469:+	0.1584381794	0.006993007	0.1848669014	0.0164835165
AT2G02960	A3:2:864020-864248:863995-864248:-	0.2121461759	0.0254745255	0.3232561974	0.026973027
AT2G02960	A3:2:864087-864248:864020-864248:-	-0.235009163	0.0254745255	-0.2848364461	0.035964036
AT2G02960	RI:2:863783:864020-864248:864452:-	-0.1524791134	0.0254745255	-0.2693550475	0.026973027
AT2G04690	A5:2:1646066-1646155:1646031-1646155:+	-0.1689154978	0.0157342657	-0.2256212149	0.020979021
AT2G04690	RI:2:1645914:1646031-1646155:1646443:+	-0.2554600037	0.0034965035	-0.3295204691	0.020979021
AT2G04690	RI:2:1645914:1646066-1646155:1646443:+	-0.1014139539	0.0221445221	-0.2228665155	0.0268065268
AT2G04790	A5:2:1679909-1680015:1679886-1680015:+	0.3482693394	0.0074925075	0.3048899475	0.017982018
AT2G05590	A5:2:2068651-2068738:2068646-2068738:+	-0.2571867514	0.005994006	-0.1847458374	0.0304695305
AT2G06025	RI:2:2350017:2350115-2350202:2350539:+	0.4562005205	0.006993007	0.3865897383	0.031968032
