groupID_x	featureID_x	exonBaseMean_x	dispersion_x	stat_x	pvalue_x	padj_x	Col_0_x	fio1	log2fold_fio1_Col_0	genomicData.seqnames_x	genomicData.start_x	genomicData.end_x	genomicData.width_x	genomicData.strand_x	countData.Parker_Col.0_20c_1.bam	countData.Parker_Col.0_20c_2.bam	countData.Parker_Col.0_20c_3.bam	countData.Parker_Col.0_20c_4.bam	countData.Parker_Col.0_20c_5.bam	countData.Parker_Col.0_20c_6.bam	countData.Parker_fio1_20c_1.bam	countData.Parker_fio1_20c_2.bam	countData.Parker_fio1_20c_3.bam	countData.Parker_fio1_20c_4.bam	countData.Parker_fio1_20c_5.bam	countData.Parker_fio1_20c_6.bam	transcripts_x	uniqueID	groupID_y	featureID_y	exonBaseMean_y	dispersion_y	stat_y	pvalue_y	padj_y	Col_0_y	fio1.1	fio1.5	log2fold_fio1.1_Col_0	log2fold_fio1.5_Col_0	genomicData.seqnames_y	genomicData.start_y	genomicData.end_y	genomicData.width_y	genomicData.strand_y	countData.Sun_Col.0_1.bam	countData.Sun_Col.0_2.bam	countData.Sun_fio1.1_1.bam	countData.Sun_fio1.1_2.bam	countData.Sun_fio1.5_1.bam	countData.Sun_fio1.5_2.bam	transcripts_y
AT1G01020	E011	215.535813351274	0.0032381649801592	101.833813532744	6.03806285241092e-24	4.21975803564745e-21	24.9644819872218	18.5861226589704	-0.884723629477177	1	8571	8593	23	-	234	477	337	243	418	314	159	115	138	159	188	59	"c(""AT1G01020.3"", ""AT1G01020.1"", ""AT1G01020.2"")"	AT1G01020:E011	AT1G01020	E011	59.3650623594226	0.0034351400497801	56.91757982829	4.37023286458243e-13	1.42038123479689e-10	15.158866760044	8.99330408070688	10.1046790852066	-1.51512243970518	-1.17768890916547	1	8571	8593	23	-	102	102	27	34	44	44	"c(""AT1G01020.3"", ""AT1G01020.1"", ""AT1G01020.2"")"
AT1G01320	E018	1025.75942185916	0.0025350863272938	9.67586883263169	0.0018670395875879	0.049648258670457	46.2149668106144	44.1541813320994	-0.153468822628342	1	126686	126840	155	-	974	1305	1056	1093	1529	1343	622	756	851	1702	1210	501	"c(""AT1G01320.3"", ""AT1G01320.2"", ""AT1G01320.1"")"	AT1G01320:E018	AT1G01320	E018	327.513369094138	0.0005006014713566	49.2921911555952	1.97850289512844e-11	4.87181725730454e-09	28.1994956691634	24.9110667684231	29.907930068581	-0.367859529986459	0.175448901705101	1	126686	126840	155	-	332	352	237	237	388	461	"c(""AT1G01320.3"", ""AT1G01320.2"", ""AT1G01320.1"")"
AT1G01320	E019	2400.29613464893	0.0019417128288728	13.7290990508409	0.0002111574330495	0.0098463394504826	64.9950480474119	62.5058941062687	-0.148770987889723	1	126935	127453	519	-	2370	3165	2512	2580	3335	3047	1425	1851	2020	3748	3010	1152	"c(""AT1G01320.3"", ""AT1G01320.2"", ""AT1G01320.1"")"	AT1G01320:E019	AT1G01320	E019	683.514029983513	0.0012700424524397	44.4421247903072	2.23622356532439e-10	4.40372416254369e-08	40.7119703187585	35.7302241078793	41.7577984730106	-0.398494419791012	0.0781312192902508	1	126935	127453	519	-	670	807	515	486	719	999	"c(""AT1G01320.3"", ""AT1G01320.2"", ""AT1G01320.1"")"
AT1G01320	E023	1466.56945894296	0.0019111433259676	17.0106761501608	3.71702284578292e-05	0.002363353062364	53.8384513145426	51.103039580964	-0.183760272598064	1	128028	128312	285	-	1472	1964	1574	1675	1954	1844	862	1184	1278	2177	1772	667	"c(""AT1G01320.3"", ""AT1G01320.2"", ""AT1G01320.1"")"	AT1G01320:E023	AT1G01320	E023	643.481479889466	0.0003258772654544	89.9058796600296	3.0004492572293804e-20	2.3484026467067802e-17	39.0521570307637	34.5865304919245	41.2208368185256	-0.369292109612722	0.165933130326328	1	128028	128312	285	-	619	732	460	475	724	943	"c(""AT1G01320.3"", ""AT1G01320.2"", ""AT1G01320.1"")"
AT1G01320	E025	847.386246393722	0.0032813487805727	13.4099035567008	0.0002502992830189	0.0112384105364387	42.9665818801063	40.2442061407319	-0.215575487814291	1	128968	129060	93	-	865	1253	884	908	1175	1073	469	602	698	1368	1048	397	"c(""AT1G01320.3"", ""AT1G01320.2"", ""AT1G01320.1"")"	AT1G01320:E025	AT1G01320	E025	350.369707620178	0.0013609545899272	47.6789864318289	4.4324071314713795e-11	1.02712665923036e-08	29.6287415865018	25.0884351831568	30.9788137638351	-0.494303374644941	0.133290450070024	1	128968	129060	93	-	349	409	215	266	402	512	"c(""AT1G01320.3"", ""AT1G01320.2"", ""AT1G01320.1"")"
AT1G01320	E026	690.148077594241	0.0028905328330167	12.0401040221127	0.0005206806584673	0.0195680608470057	39.1908070227474	36.8818687728269	-0.196010220672983	1	129853	129914	62	-	688	947	720	730	978	934	414	472	566	1151	883	306	"c(""AT1G01320.3"", ""AT1G01320.2"", ""AT1G01320.1"")"	AT1G01320:E026	AT1G01320	E026	220.681006428318	0.0043092089836706	22.8228696675025	1.10681954879337e-05	0.0005507499414826	22.9322724988499	20.1002361064708	25.3729729648207	-0.387391244269462	0.298647469905248	1	129853	129914	62	-	201	247	133	173	284	319	"c(""AT1G01320.3"", ""AT1G01320.2"", ""AT1G01320.1"")"
AT1G01320	E027	775.937251083674	0.0028243666235322	15.9772090086326	6.41096496167242e-05	0.0037309907781197	41.4377071460523	38.6605991246891	-0.226439160948589	1	130039	130149	111	-	746	1020	871	847	1151	1036	450	520	620	1262	999	356	"c(""AT1G01320.3"", ""AT1G01320.2"", ""AT1G01320.1"")"	AT1G01320:E027	AT1G01320	E027	281.460967444833	0.0047115487075665	26.9810704731743	1.38399649043185e-06	9.66818604786832e-05	26.2543966712121	22.2102949968491	28.511053479577	-0.493999679954328	0.2450652042358	1	130039	130149	111	-	270	321	157	218	337	433	"c(""AT1G01320.3"", ""AT1G01320.2"", ""AT1G01320.1"")"
AT1G01320	E028	577.670696718582	0.0033773781671498	12.9639428768792	0.0003175477097314	0.013458450442481	36.2787636446165	33.7320722668659	-0.231201062051282	1	130372	130570	199	-	525	723	657	661	864	775	336	409	423	921	675	306	"c(""AT1G01320.3"", ""AT1G01320.2"", ""AT1G01320.1"")"	AT1G01320:E028	AT1G01320	E028	184.961727047666	0.0038703502100618	37.4298507169098	7.450942083005281e-09	1.02329384170592e-06	21.4266008992445	17.3486067765038	23.7709388747918	-0.618329655462422	0.305725518229879	1	130372	130570	199	-	175	215	99	128	215	317	"c(""AT1G01320.3"", ""AT1G01320.2"", ""AT1G01320.1"")"
AT1G01580	E009	1150.46707618034	0.005262845034976	17.4670004150746	2.92338241156659e-05	0.0019239725717056	44.5012444096334	50.4236975096997	0.426242088862068	1	212671	213080	410	+	1118	1919	1159	488	1859	1753	1506	979	1059	212	1612	616	"c(""AT1G01580.2"", ""AT1G01580.1"")"	AT1G01580:E009	AT1G01580	E009	631.421925304637	0.0008825073685764	21.1895529302459	2.50464998905757e-05	0.0010693802845014	34.2858793653014	38.1760201126419	34.7950042860322	0.326318323400868	0.0445562954881051	1	212671	213080	410	+	403	448	998	1101	317	455	"c(""AT1G01580.2"", ""AT1G01580.1"")"
AT1G02080	E008	28.5890529713894	0.0484008340113831	11.7631642399167	0.0006041443609299	0.021990212031085	6.59389074050819	9.42010568993081	1.03470996521358	1	375122	375124	3	+	15	17	30	35	15	23	25	31	19	60	29	28	AT1G02080.1	AT1G02080:E008	AT1G02080	E008	6.35708405460475	0.033402992303572	22.3664233148043	1.39057010087131e-05	0.0006635203635902	1.96874005490565	2.33556153793609	5.95927277136713	0.493085418201235	3.19756596177847	1	375122	375124	3	+	1	2	3	1	12	24	AT1G02080.1
